codigo_matricula_colaborador;nome_colaborador;tipo_contrato_trabalho;codigo_cargo_colaborador;data_nascimento_colaborador;nome_cidade_colaborador;numero_cpf_colaborador;endereco_email_colaborador;data_admissao_colaborador
1;Anthony Gabriel Silva;PJ;GRC;21/03/1978;Pimenta de Oliveira;930.785.146-84;castrolevi@example.net;19/02/2024
2;Cauã Porto;PJ;PDO;14/06/1960;das Neves de Marques;192.754.630-34;xoliveira@example.org;15/05/2016
3;Helena Cavalcante;PJ;ADS;13/02/1986;Cunha;168.739.502-03;bento85@example.com;04/10/2012
4;Nathan Câmara;CLT;EDD;06/05/1979;Alves;935.417.682-82;sophia44@example.com;14/10/2015
5;Bella Garcia;PJ;EPC;24/09/1992;Aparecida de Aragão;582.079.361-77;fernandespedro-henrique@example.org;22/02/2010
6;Emilly Rodrigues;CLT;GRC;15/09/1980;Rezende;805.293.147-97;novaesluara@example.com;13/11/2021
7;Arthur Miguel Aparecida;CLT;EPD;10/06/1996;Nunes do Campo;260.389.457-92;kazevedo@example.org;15/07/2010
8;Bruno Casa Grande;PJ;ADS;06/05/1980;Macedo;549.318.072-32;yagoda-costa@example.org;30/01/2015
9;Pedro Henrique Leão;PJ;EST;31/10/1991;Gomes;154.703.829-23;vasconcelosdaniel@example.com;18/08/2017
10;Matteo Novais;CLT;AND;16/11/1978;Oliveira da Serra;248.603.195-24;lcarvalho@example.org;25/05/2013
11;Luigi Caldeira;CLT;CDD;12/10/1981;Correia;632.940.751-70;novaisagatha@example.org;23/02/2010
12;Luiz Miguel Brito;PJ;GRC;09/08/1984;da Mota da Mata;463.721.905-16;luanafernandes@example.com;27/05/2017
13;Bárbara Caldeira;CLT;DUX;15/12/1962;da Costa;054.789.163-66;carvalhoeloa@example.com;02/08/2024
14;Miguel da Costa;PJ;AGC;11/05/1994;da Mata de Jesus;509.378.216-59;hadassasilveira@example.org;22/04/2019
15;Alexia Marques;PJ;GRT;29/09/1975;Marques;245.978.036-29;valmeida@example.net;05/02/2021
16;Bruno da Mota;CLT;DUX;04/10/1991;Cavalcante;326.841.095-24;albuquerqueenrico@example.org;14/05/2018
17;Heloísa Dias;PJ;CCO;20/09/1976;Moraes da Praia;836.401.257-62;ana-sophia86@example.com;31/07/2015
18;Henry das Neves;CLT;GRC;26/07/1970;Rocha dos Dourados;632.180.975-68;da-rosaeloah@example.net;13/07/2010
19;Theo Castro;CLT;EPD;30/06/1996;Abreu de Campos;790.431.286-78;eda-mata@example.net;17/12/2010
20;Yan Melo;PJ;AQA;05/08/1973;Aragão;382.790.546-00;britoleo@example.com;02/02/2011
21;Vicente Aparecida;CLT;GRC;10/07/1980;Rios do Amparo;293.856.017-68;maria-claraaragao@example.com;29/08/2011
